part_id,part_name,supplier_name,module_group,main_module,module_name,torque_inf,specbook_number,specbook_filename,specbook_file_id
COI30000765,COIL_CR300LA _GI50/50_080_530,,,,,,,,
BLN30001751,BLANK_CR300LA_GI50/50_080_530_2395,,,,,,,,
BLN30001737,BLANK_DC05_GI50/50_070_1665_2180,,,,,,,,
BIW30037074,RR_DR_INNER_PNL_RH_US,,,,,,,,
BIW30037073,RR_DR_INNER_PNL_LH_US,,,,,,,,
BLN30001148,BLANK_DC05_GI50/50_070_1510_2090,,,,,,,,
BIW30037053,FR_DR_INNER_PNL_RH_US,,,,,,,,
BIW30037052,FR_DR_INNER_PNL_LH_US,,,,,,,,
COI30001247,COIL_CR330Y590T- DP_GI50/50_100_725,,,,,,,,
BLN30001633,BLANK_CR330Y590T- DP_GI50/50_100_725_565,,,,,,,,
COI30001481,COIL_HC180Y_EG50/50_060_1320,,,,,,,,
BLN30001740,BLANK_HC180Y_EG50/50_060_1320_1850,,,,,,,,
COI30001480,COIL_DC53_GI50/50_055_1340,,,,,,,,
BLN30001739,BLANK_DC53_GI50/50_055_1340_1925,,,,,,,,
COI30001435,COIL_DC06_EG50/50_070_1630,,,,,,,,
BLN30001723,BLANK_DC06_EG50/50_070_1630_700,,,,,,,,
COI30001434,COIL_CR300LA_GI50/50_070_685,,,,,,,,
BLN30001721,BLANK_CR300LA_GI50/50_070_685_1740,,,,,,,,
COI30001436,COIL_HC180Y_EG50/50_060_1462,,,,,,,,
BLN30001724,BLANK_HC180Y_EG50/50_060_1462_1900,,,,,,,,
COI30000920,COIL_DC06_EG50/50_070_1640,,,,,,,,
BLN30001722,BLANK_DC06_EG50/50_070_1640_700,,,,,,,,
COI30000764,COIL_CR300LA_GI50/50_070_695,,,,,,,,
BLN30001720,BLANK_CR300LA_GI50/50_070_695_1740,,,,,,,,
BIW30110014,PANEL_WHEELHOUSE_OUTER_RH,,,,,,,,
BLN30001678,BLANK_DX57D_GI50/50_070_1621_872,,,,,,,,
BIW30110013,PANEL_WHEELHOUSE_OUTER_LH,,,,,,,,
BLN30001014,BLANK_DC06_EG50/50_070_1650_3590,,,,,,,,
BIW30037041,BODY_SIDE_OUTER_RH,,,,,,,,
BIW30037040,BODY_SIDE_OUTER_LH,,,,,,,,
BIW30037001,HOOD_OTR_PNL_EU,,,,,,,,
BIW30037002AA,HOOD_INNER_PNL_EU,,DOORS_AND_CLOSURES,HOOD_SYSTEM,STRUCTURE_PARTS,NA,,,
BLN30001286,BLANK_DC05_EG50/50_065_1400_852.5,,,,,,,,
COI30000915,COIL_DC05_EG50/50_065_1400,,,,,,,,
COI30001190,COIL_AL-5182_100_1570,,,,,,,,
BLN30001581,BLANK_AL-5182_100_1570_2020,,,,,,,,
FRA11002129,MAIN_TOP_COVER,,,,,,,,
COI30000941,COIL_DX57D_GI50/50_070_1621,,,,,,,,
BIW30009474,PANEL_WHEELHOUSE_OUTER_RH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
BIW30009377,PANEL_WHEELHOUSE_OUTER_LH,,BODY_IN_WHITE,UPPER_BODY,SIDE_FRAME_INNER,,,,
COI30000923,COIL_CR300LA_GI50/50_160_1335,,,,,,,,
BLN30001155,BLANK_CR300LA_GI50/50_160_1335_1855,,,,,,,,
BIW30009478,PANO_ROOF_REINF,,BODY_IN_WHITE,UPPER_BODY,ROOF,,,,
COI30000922,COIL_DC06_EG50/50_065_1600,,,,,,,,
BLN30001154,BLANK_DC06_EG50/50_065_1600_1165,,,,,,,,
COI30000921,COIL_DX56D_GI50/50_065_1710,,,,,,,,
BLN30001153,BLANK_DX56D_GI50/50_065_1710_1520,,,,,,,,
BLN30001152,BLANK_DC06_EG50/50_070_1640_715,,,,,,,,
COI30000918,COIL_DC53_GI50/50_055_1467,,,,,,,,
BLN30001150,BLANK_DC53_GI50/50_055_1467_1900,,,,,,,,
COI30001478,COIL_DC05_GI50/50_070_1665,,,,,,,,
BLN30001750,BLANK_HC180Y_EG50/50_065_1110_2750,,,,,,,,
COI30000768,COIL_HC180Y_EG50/50_065_1110,,,,,,,,
COI30000916,COIL_DC05_GI50/50_070_1510,,,,,,,,
COI30000767,COIL_HC180Y_EG50/50_065_1055,,,,,,,,
BLN30001010,BLANK_HC180Y_EG50/50_065_1055_2580,,,,,,,,
BLN30001147,BLANK_DC05_EG50/50_065_1400_852.5,,,,,,,,
COI30000914,COIL_DC05_EG50/50_070_1500,,,,,,,,
BLN30001146,BLANK_DC05_EG50/50_070_1500_2365,,,,,,,,
COI30000771,COIL_DC06_EG50/50_070_1650,,,,,,,,
COI30000770,COIL_DC01_GI50/50_070_1220,,,,,,,,
BLN30001013,BLANK_DC01_GI50/50_070_1220_1470,,,,,,,,
COI30000766,COIL_DC01_GI50/50_070_1100,,,,,,,,
BLN30001009,BLANK_DC01_GI50/50_070_1100_1490,,,,,,,,
BLN30001008,BLANK_CR300LA _GI50/50_080_530_2405,,,,,,,,
BLN30001007,BLANK_CR300LA_GI50/50_070_695_1750,,,,,,,,
BIW30240123,TAILGATE-OTR-UPPER-PNL-HL,,,,,,,,
